Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0402,2.5,0.75,90,bottom
C10,0.1uF,C_0603,100.075001,-5.079999,90,bottom
C100,4.7nF,C_0402,216.8125,-99.2625,90,bottom
C101,0.1uF,C_0402,140.375,-42.1125,90,bottom
C102,0.1uF,C_0402,159.425,-42.1125,90,bottom
C103,0.1uF,C_0402,25.440625,-59.534375,0,bottom
C104,0.1uF,C_0402,67.1125,-59.534375,0,bottom
C105,0.1uF,C_0402,178.475,-42.1125,90,bottom
C106,0.1uF,C_0402,105.2125,-59.534375,0,bottom
C107,4.7nF,C_0402,252.53125,-80.2125,90,bottom
C108,4.7nF,C_0402,293.0125,0.75,90,bottom
C109,0.1uF,C_0402,181.4125,-59.534375,0,bottom
C11,0.1uF,C_0603,38.162501,-5.079999,90,bottom
C110,0.1uF,C_0402,143.3125,-59.534375,0,bottom
C111,0.1uF,C_0402,197.525,-42.1125,90,bottom
C112,0.1uF,C_0402,216.575,-42.1125,90,bottom
C113,0.1uF,C_0402,252.29375,-61.1625,90,bottom
C114,0.1uF,C_0402,235.625,-42.1125,90,bottom
C115,0.1uF,C_0402,259.4375,-42.1125,90,bottom
C116,4.7nF,C_0402,293.0125,-23.0625,90,bottom
C117,0.1uF,C_0402,2.2625,-42.1125,90,bottom
C118,4.7nF,C_0402,293.0125,-42.1125,90,bottom
C119,0.1uF,C_0402,221.3375,-61.1625,90,bottom
C12,0.1uF,C_0603,57.212501,-5.079999,90,bottom
C120,0.1uF,C_0402,202.2875,-61.1625,90,bottom
C121,0.1uF,C_0402,183.2375,-61.1625,90,bottom
C122,0.1uF,C_0402,49.8875,-61.1625,90,bottom
C123,0.1uF,C_0402,164.1875,-61.1625,90,bottom
C124,0.1uF,C_0402,145.1375,-61.1625,90,bottom
C125,0.1uF,C_0402,126.0875,-61.1625,90,bottom
C126,0.1uF,C_0402,107.0375,-61.1625,90,bottom
C127,0.1uF,C_0402,30.8375,-61.1625,90,bottom
C128,0.1uF,C_0402,68.9375,-61.1625,90,bottom
C129,0.1uF,C_0402,87.9875,-61.1625,90,bottom
C13,0.1uF,C_0603,76.262501,-5.079999,90,bottom
C130,0.1uF,C_0402,4.64375,-61.1625,90,bottom
C131,0.1uF,C_0402,9.40625,-80.2125,90,bottom
C133,0.1uF,C_0402,40.3625,-80.2125,90,bottom
C134,0.1uF,C_0402,247.53125,-80.2125,90,bottom
C135,0.1uF,C_0402,288.0125,-23.0625,90,bottom
C136,0.1uF,C_0402,211.8125,-80.2125,90,bottom
C137,0.1uF,C_0402,192.7625,-80.2125,90,bottom
C138,0.1uF,C_0402,173.7125,-80.2125,90,bottom
C139,0.1uF,C_0402,154.6625,-80.2125,90,bottom
C14,10uF,C_0402,293.812499,-11.8425,270,bottom
C140,0.1uF,C_0402,135.6125,-80.2125,90,bottom
C141,0.1uF,C_0402,59.4125,-80.2125,90,bottom
C142,0.1uF,C_0402,78.4625,-80.2125,90,bottom
C143,0.1uF,C_0402,97.5125,-80.2125,90,bottom
C144,0.1uF,C_0402,116.5625,-80.2125,90,bottom
C145,4.7nF,C_0402,312.0625,-80.2125,90,bottom
C147,0.1uF,C_0402,2.2625,-99.2625,90,bottom
C148,0.1uF,C_0402,26.075,-99.2625,90,bottom
C149,0.1uF,C_0402,49.8875,-99.2625,90,bottom
C15,4.7nF,C_0402,259.675,-23.0625,90,bottom
C150,0.1uF,C_0402,288.0125,-42.1125,90,bottom
C151,4.7nF,C_0402,293.0125,-99.2625,90,bottom
C152,4.7nF,C_0402,312.0625,0.75,90,bottom
C153,0.1uF,C_0402,219.5125,-59.534375,0,bottom
C154,4.7nF,C_0402,312.0625,-23.0625,90,bottom
C155,4.7nF,C_0402,312.0625,-42.1125,90,bottom
C156,0.1uF,C_0402,259.99375,-58.34375,0,bottom
C157,4.7nF,C_0402,312.0625,-99.2625,90,bottom
C158,0.1uF,C_0402,211.8125,-99.2625,90,bottom
C159,0.1uF,C_0402,235.625,-99.2625,90,bottom
C16,4.7nF,C_0402,2.5,-23.0625,90,bottom
C160,0.1uF,C_0402,259.4375,-99.2625,90,bottom
C161,4.7nF,C_0402,331.1125,0.75,90,bottom
C162,4.7nF,C_0402,331.1125,-23.0625,90,bottom
C163,0.1uF,C_0402,130.85,-99.2625,90,bottom
C164,0.1uF,C_0402,324.2875,-59.534375,0,bottom
C165,0.1uF,C_0402_1005Metric,287.562499,-10.3425,180,bottom
C166,4.7nF,C_0402,331.1125,-42.1125,90,bottom
C167,0.1uF,C_0402,-2.5,0.75,90,bottom
C168,0.1uF,C_0402,288.0125,-99.2625,90,bottom
C169,4.7nF,C_0402,7.2625,-99.2625,90,bottom
C17,4.7nF,C_0402,7.2625,-42.1125,90,bottom
C170,4.7nF,C_0402,31.075,-99.2625,90,bottom
C171,4.7nF,C_0402,54.8875,-99.2625,90,bottom
C172,4.7nF,C_0402,240.625,-99.2625,90,bottom
C173,4.7nF,C_0402,264.4375,-99.2625,90,bottom
C174,4.7nF,C_0402,331.1125,-99.2625,90,bottom
C175,0.1uF,C_0402,307.0625,-23.0625,90,bottom
C176,0.1uF,C_0402,307.0625,-42.1125,90,bottom
C177,0.1uF,C_0402,21.3125,0.75,90,bottom
C178,4.7nF,C_0402,135.85,-99.2625,90,bottom
C179,0.1uF,C_0402,307.0625,-80.2125,90,bottom
C18,4.7nF,C_0402,9.64375,-61.1625,90,bottom
C180,0.1uF,C_0402,307.0625,-99.2625,90,bottom
C181,0.1uF,C_0402,326.1125,-23.0625,90,bottom
C182,0.1uF,C_0402,326.1125,-42.1125,90,bottom
C183,0.1uF,C_0402,40.3625,0.75,90,bottom
C184,0.1uF,C_0402,326.1125,-99.2625,90,bottom
C185,0.1uF,C_0402,59.4125,0.75,90,bottom
C186,0.1uF,C_0402,78.4625,0.75,90,bottom
C187,0.1uF,C_0402,102.275,0.75,90,bottom
C188,0.1uF,C_0402,121.325,0.75,90,bottom
C189,0.1uF,C_0402,140.375,0.75,90,bottom
C19,4.7nF,C_0402,14.40625,-80.2125,90,bottom
C190,0.1uF,C_0402,159.425,0.75,90,bottom
C191,0.1uF,C_0402,183.2375,0.75,90,bottom
C192,0.1uF,C_0402,202.2875,0.75,90,bottom
C193,0.1uF,C_0402,221.3375,0.75,90,bottom
C194,0.1uF,C_0402,240.3875,0.75,90,bottom
C195,0.1uF,C_0402,264.2,0.75,90,bottom
C196,0.1uF,C_0402,288.0125,0.75,90,bottom
C197,0.1uF,C_0402,307.0625,0.75,90,bottom
C198,0.1uF,C_0402,326.1125,0.75,90,bottom
C199,0.1uF,C_0402,290.845293,-62.17502,45,bottom
C2,4.7nF,C_0402,26.3125,0.75,90,bottom
C20,10uF,C_0402,294.812499,-11.8425,270,bottom
C200,0.1uF,C_0402,281.845293,-62.17502,315,bottom
C201,0.1uF,C_0402,291.345293,-70.92502,225,bottom
C202,0.1uF,C_0402,290.595293,-71.67502,225,bottom
C203,0.1uF,C_0402,279.845293,-66.17502,270,bottom
C204,0.1uF,C_0402,305.295293,-69.87502,270,bottom
C205,0.1uF,C_0603,119.125001,-5.079999,90,bottom
C206,0.1uF,C_0603,138.175001,-5.079999,90,bottom
C207,0.1uF,C_0603,157.225001,-5.079999,90,bottom
C208,0.1uF,C_0603,181.037501,-5.079999,90,bottom
C209,0.1uF,C_0603,304.862501,-86.042499,90,bottom
C210,0.1uF,C_0603,200.087501,-5.079999,90,bottom
C211,0.1uF,C_0603,219.137501,-5.079999,90,bottom
C212,0.1uF,C_0603,238.187501,-5.079999,90,bottom
C213,0.1uF,C_0603,262.000001,-5.079999,90,bottom
C214,0.1uF,C_0603,285.812501,-5.079999,90,bottom
C215,0.1uF,C_0603,304.862501,-5.079999,90,bottom
C216,0.1uF,C_0603,323.912501,-5.079999,90,bottom
C217,0.1uF,C_0603,4.699999,-28.8925,270,bottom
C218,0.1uF,C_0603,23.749999,-28.8925,270,bottom
C219,0.1uF,C_0603,42.799999,-28.8925,270,bottom
C22,4.7nF,C_0402,21.55,-23.0625,90,bottom
C220,0.1uF,C_0603,61.849999,-28.8925,270,bottom
C221,0.1uF,C_0603,80.899999,-28.8925,270,bottom
C222,0.1uF,C_0603,99.949999,-28.8925,270,bottom
C223,0.1uF,C_0603,118.999999,-28.8925,270,bottom
C224,0.1uF,C_0603,138.049999,-28.8925,270,bottom
C225,0.1uF,C_0603,157.099999,-28.8925,270,bottom
C226,0.1uF,C_0603,176.149999,-28.8925,270,bottom
C227,0.1uF,C_0603,195.199999,-28.8925,270,bottom
C228,0.1uF,C_0603,214.249999,-28.8925,270,bottom
C229,0.1uF,C_0603,233.299999,-28.8925,270,bottom
C23,4.7nF,C_0402,31.075,-42.1125,90,bottom
C230,0.1uF,C_0603,261.874999,-28.8925,270,bottom
C231,0.1uF,C_0603,0.062501,-47.942499,90,bottom
C232,0.1uF,C_0603,295.212499,-28.8925,270,bottom
C233,0.1uF,C_0603,314.262499,-28.8925,270,bottom
C234,0.1uF,C_0603,333.312499,-28.8925,270,bottom
C235,0.1uF,C_0603,23.875001,-47.942499,90,bottom
C236,0.1uF,C_0603,42.925001,-47.942499,90,bottom
C237,0.1uF,C_0603,61.975001,-47.942499,90,bottom
C238,0.1uF,C_0603,81.025001,-47.942499,90,bottom
C239,0.1uF,C_0603,100.075001,-47.942499,90,bottom
C24,4.7nF,C_0402,35.8375,-61.1625,90,bottom
C240,0.1uF,C_0603,119.125001,-47.942499,90,bottom
C241,0.1uF,C_0603,138.175001,-47.942499,90,bottom
C242,0.1uF,C_0603,157.225001,-47.942499,90,bottom
C243,0.1uF,C_0603,176.275001,-47.942499,90,bottom
C244,0.1uF,C_0603,195.325001,-47.942499,90,bottom
C245,0.1uF,C_0603,214.375001,-47.942499,90,bottom
C246,0.1uF,C_0603,233.425001,-47.942499,90,bottom
C247,0.1uF,C_0603,257.237501,-47.942499,90,bottom
C248,0.1uF,C_0603,11.843749,-66.9925,270,bottom
C249,0.1uF,C_0603,285.812501,-47.942499,90,bottom
C250,0.1uF,C_0603,304.862501,-47.942499,90,bottom
C251,0.1uF,C_0603,323.912501,-47.942499,90,bottom
C252,0.1uF,C_0603,38.037499,-66.9925,270,bottom
C253,0.1uF,C_0603,57.087499,-66.9925,270,bottom
C254,0.1uF,C_0603,76.137499,-66.9925,270,bottom
C255,0.1uF,C_0603,95.187499,-66.9925,270,bottom
C256,0.1uF,C_0603,114.237499,-66.9925,270,bottom
C257,0.1uF,C_0603,133.287499,-66.9925,270,bottom
C258,0.1uF,C_0603,152.337499,-66.9925,270,bottom
C259,0.1uF,C_0603,171.387499,-66.9925,270,bottom
C260,0.1uF,C_0603,190.437499,-66.9925,270,bottom
C261,0.1uF,C_0603,209.487499,-66.9925,270,bottom
C262,0.1uF,C_0603,228.537499,-66.9925,270,bottom
C263,0.1uF,C_0603,259.493749,-66.9925,270,bottom
C264,0.1uF,C_0603,7.206251,-86.042499,90,bottom
C265,0.1uF,C_0603,38.162501,-86.042499,90,bottom
C266,0.1uF,C_0603,57.212501,-86.042499,90,bottom
C267,0.1uF,C_0603,76.262501,-86.042499,90,bottom
C268,0.1uF,C_0603,95.312501,-86.042499,90,bottom
C269,0.1uF,C_0603,114.362501,-86.042499,90,bottom
C27,0.1uF,C_0402,16.55,-23.0625,90,bottom
C270,0.1uF,C_0603,133.412501,-86.042499,90,bottom
C271,0.1uF,C_0603,152.462501,-86.042499,90,bottom
C272,0.1uF,C_0603,171.512501,-86.042499,90,bottom
C273,0.1uF,C_0603,190.562501,-86.042499,90,bottom
C274,0.1uF,C_0603,209.612501,-86.042499,90,bottom
C275,0.1uF,C_0603,245.331251,-86.042499,90,bottom
C276,0.1uF,C_0603,9.462499,-105.0925,270,bottom
C277,0.1uF,C_0603,33.274999,-105.0925,270,bottom
C278,0.1uF,C_0603,57.087499,-105.0925,270,bottom
C279,0.1uF,C_0603,138.049999,-105.0925,270,bottom
C28,4.7nF,C_0402,40.6,-23.0625,90,bottom
C280,0.1uF,C_0603,219.012499,-105.0925,270,bottom
C281,0.1uF,C_0603,242.824999,-105.0925,270,bottom
C282,0.1uF,C_0603,266.637499,-105.0925,270,bottom
C283,0.1uF,C_0603,295.212499,-105.0925,270,bottom
C284,0.1uF,C_0603,314.262499,-105.0925,270,bottom
C285,0.1uF,C_0603,333.312499,-105.0925,270,bottom
C286,10nF,C_0402,279.365293,-64.67502,0,bottom
C287,1uF,C_0402,279.365293,-63.67502,0,bottom
C288,0.1uF,C_0402,304.095293,-72.67502,270,bottom
C29,4.7nF,C_0402,50.125,-42.1125,90,bottom
C3,4.7nF,C_0402,45.3625,0.75,90,bottom
C30,4.7nF,C_0402,54.8875,-61.1625,90,bottom
C31,4.7nF,C_0402,126.325,0.75,90,bottom
C33,0.1uF,C_0402,35.6,-23.0625,90,bottom
C34,4.7nF,C_0402,59.65,-23.0625,90,bottom
C35,4.7nF,C_0402,69.175,-42.1125,90,bottom
C36,4.7nF,C_0402,73.9375,-61.1625,90,bottom
C37,4.7nF,C_0402,45.3625,-80.2125,90,bottom
C38,0.1uF,C_0402,54.65,-23.0625,90,bottom
C39,0.1uF,C_0402,73.7,-23.0625,90,bottom
C4,4.7nF,C_0402,64.4125,0.75,90,bottom
C40,4.7nF,C_0402,78.7,-23.0625,90,bottom
C41,4.7nF,C_0402,88.225,-42.1125,90,bottom
C42,4.7nF,C_0402,92.9875,-61.1625,90,bottom
C43,4.7nF,C_0402,64.4125,-80.2125,90,bottom
C44,0.1uF,C_0402,92.75,-23.0625,90,bottom
C45,0.1uF,C_0402,111.8,-23.0625,90,bottom
C46,4.7nF,C_0402,97.75,-23.0625,90,bottom
C47,4.7nF,C_0402,107.275,-42.1125,90,bottom
C48,4.7nF,C_0402,112.0375,-61.1625,90,bottom
C49,4.7nF,C_0402,83.4625,-80.2125,90,bottom
C5,4.7nF,C_0402,83.4625,0.75,90,bottom
C50,4.7nF,C_0402,145.375,0.75,90,bottom
C51,0.1uF,C_0402,-2.5,-23.0625,90,bottom
C52,4.7nF,C_0402,116.8,-23.0625,90,bottom
C53,4.7nF,C_0402,126.325,-42.1125,90,bottom
C54,4.7nF,C_0402,131.0875,-61.1625,90,bottom
C55,4.7nF,C_0402,102.5125,-80.2125,90,bottom
C56,0.1uF,C_0402,254.675,-23.0625,90,bottom
C57,0.1uF,C_0402,130.85,-23.0625,90,bottom
C58,4.7nF,C_0402,135.85,-23.0625,90,bottom
C59,4.7nF,C_0402,145.375,-42.1125,90,bottom
C6,4.7nF,C_0402,107.275,0.75,90,bottom
C60,4.7nF,C_0402,150.1375,-61.1625,90,bottom
C61,4.7nF,C_0402,121.5625,-80.2125,90,bottom
C62,4.7nF,C_0402,164.425,0.75,90,bottom
C63,0.1uF,C_0402,149.9,-23.0625,90,bottom
C64,4.7nF,C_0402,154.9,-23.0625,90,bottom
C65,4.7nF,C_0402,164.425,-42.1125,90,bottom
C66,4.7nF,C_0402,169.1875,-61.1625,90,bottom
C67,4.7nF,C_0402,140.6125,-80.2125,90,bottom
C68,0.1uF,C_0402,168.95,-23.0625,90,bottom
C69,0.1uF,C_0402,188,-23.0625,90,bottom
C7,10uF,C_0402,287.062499,-11.8425,270,bottom
C70,4.7nF,C_0402,173.95,-23.0625,90,bottom
C71,4.7nF,C_0402,183.475,-42.1125,90,bottom
C72,4.7nF,C_0402,188.2375,-61.1625,90,bottom
C73,4.7nF,C_0402,159.6625,-80.2125,90,bottom
C74,0.1uF,C_0402,207.05,-23.0625,90,bottom
C75,4.7nF,C_0402,188.2375,0.75,90,bottom
C76,0.1uF,C_0402,193,-23.0625,90,bottom
C77,0.1uF,C_0402,202.525,-42.1125,90,bottom
C78,0.1uF,C_0402,207.2875,-61.1625,90,bottom
C79,4.7nF,C_0402,178.7125,-80.2125,90,bottom
C8,0.1uF,C_0603,-4.699999,-5.079999,90,bottom
C80,0.1uF,C_0402,226.1,-23.0625,90,bottom
C81,0.1uF,C_0402,207.2875,0.75,90,bottom
C82,0.1uF,C_0402,212.05,-23.0625,90,bottom
C83,0.1uF,C_0402,221.575,-42.1125,90,bottom
C84,0.1uF,C_0402,226.3375,-61.1625,90,bottom
C85,0.1uF,C_0402,197.7625,-80.2125,90,bottom
C86,0.1uF,C_0402,226.3375,0.75,90,bottom
C87,0.1uF,C_0402,45.125,-42.1125,90,bottom
C88,4.7nF,C_0402,231.1,-23.0625,90,bottom
C89,4.7nF,C_0402,240.625,-42.1125,90,bottom
C9,0.1uF,C_0603,19.112501,-5.079999,90,bottom
C90,4.7nF,C_0402,257.29375,-61.1625,90,bottom
C91,0.1uF,C_0402,64.175,-42.1125,90,bottom
C92,0.1uF,C_0402,83.225,-42.1125,90,bottom
C93,0.1uF,C_0402,26.075,-42.1125,90,bottom
C94,4.7nF,C_0402,245.3875,0.75,90,bottom
C95,4.7nF,C_0402,264.4375,-42.1125,90,bottom
C96,0.1uF,C_0402,102.275,-42.1125,90,bottom
C97,0.1uF,C_0402,216.8125,-80.2125,90,bottom
C98,4.7nF,C_0402,269.2,0.75,90,bottom
C99,0.1uF,C_0402,121.325,-42.1125,90,bottom
J2,Conn_01x04,JST-SR-4,278.60625,-17.0625,180,bottom
L1,2.2uH,L_TDK_NLV25_2.5x2.0mm,290.562499,-14.0925,180,bottom
R11,1k5,R_0402,289.345293,-58.42502,90,bottom
R113,100R,R_0402_1005Metric,288.062499,-11.8425,90,bottom
R12,22R,R_0402,287.345293,-58.42502,90,bottom
R13,22R,R_0402,288.345293,-58.42502,270,bottom
R14,10k,R_0402,293.345293,-72.67502,90,bottom
R15,100R,R_0402_1005Metric,333.6125,-4.4125,0,bottom
R9,10k,R_0402,309.695293,-69.87502,90,bottom
RGB1,SK6812_Mini_E,SK6812_Mini_E,328.6125,-5.079999,0,bottom
RGB10,SK6812_Mini_E,SK6812_Mini_E,161.925,-5.079999,0,bottom
RGB11,SK6812_Mini_E,SK6812_Mini_E,185.7375,-5.079999,0,bottom
RGB12,SK6812_Mini_E,SK6812_Mini_E,42.8625,-5.079999,0,bottom
RGB13,SK6812_Mini_E,SK6812_Mini_E,61.9125,-5.079999,0,bottom
RGB14,SK6812_Mini_E,SK6812_Mini_E,80.9625,-5.079999,0,bottom
RGB15,SK6812_Mini_E,SK6812_Mini_E,104.775,-5.079999,0,bottom
RGB16,SK6812_Mini_E,SK6812_Mini_E,0,-5.079999,0,bottom
RGB17,SK6812_Mini_E,SK6812_Mini_E,23.8125,-5.079999,0,bottom
RGB18,SK6812_Mini_E,SK6812_Mini_E,47.625,-47.942499,0,bottom
RGB19,SK6812_Mini_E,SK6812_Mini_E,66.675,-47.942499,0,bottom
RGB2,SK6812_Mini_E,SK6812_Mini_E,309.5625,-5.079999,0,bottom
RGB20,SK6812_Mini_E,SK6812_Mini_E,85.725,-47.942499,0,bottom
RGB21,SK6812_Mini_E,SK6812_Mini_E,104.775,-47.942499,0,bottom
RGB22,SK6812_Mini_E,SK6812_Mini_E,123.825,-47.942499,0,bottom
RGB23,SK6812_Mini_E,SK6812_Mini_E,142.875,-47.942499,0,bottom
RGB24,SK6812_Mini_E,SK6812_Mini_E,161.925,-47.942499,0,bottom
RGB25,SK6812_Mini_E,SK6812_Mini_E,180.975,-47.942499,0,bottom
RGB28,SK6812_Mini_E,SK6812_Mini_E,200.025,-47.942499,0,bottom
RGB29,SK6812_Mini_E,SK6812_Mini_E,219.075,-47.942499,0,bottom
RGB3,SK6812_Mini_E,SK6812_Mini_E,290.5125,-5.079999,0,bottom
RGB30,SK6812_Mini_E,SK6812_Mini_E,238.125,-47.942499,0,bottom
RGB31,SK6812_Mini_E,SK6812_Mini_E,261.9375,-47.942499,0,bottom
RGB32,SK6812_Mini_E,SK6812_Mini_E,290.5125,-47.942499,0,bottom
RGB33,SK6812_Mini_E,SK6812_Mini_E,309.5625,-47.942499,0,bottom
RGB34,SK6812_Mini_E,SK6812_Mini_E,328.6125,-47.942499,0,bottom
RGB35,SK6812_Mini_E,SK6812_Mini_E,4.7625,-47.942499,0,bottom
RGB36,SK6812_Mini_E,SK6812_Mini_E,28.575,-47.942499,0,bottom
RGB37,SK6812_Mini_E,SK6812_Mini_E,250.03125,-86.042499,0,bottom
RGB38,SK6812_Mini_E,SK6812_Mini_E,214.3125,-86.042499,0,bottom
RGB39,SK6812_Mini_E,SK6812_Mini_E,195.2625,-86.042499,0,bottom
RGB4,SK6812_Mini_E,SK6812_Mini_E,266.7,-5.079999,0,bottom
RGB40,SK6812_Mini_E,SK6812_Mini_E,176.2125,-86.042499,0,bottom
RGB41,SK6812_Mini_E,SK6812_Mini_E,157.1625,-86.042499,0,bottom
RGB42,SK6812_Mini_E,SK6812_Mini_E,138.1125,-86.042499,0,bottom
RGB43,SK6812_Mini_E,SK6812_Mini_E,119.0625,-86.042499,0,bottom
RGB44,SK6812_Mini_E,SK6812_Mini_E,100.0125,-86.042499,0,bottom
RGB45,SK6812_Mini_E,SK6812_Mini_E,80.9625,-86.042499,0,bottom
RGB46,SK6812_Mini_E,SK6812_Mini_E,61.9125,-86.042499,0,bottom
RGB47,SK6812_Mini_E,SK6812_Mini_E,42.8625,-86.042499,0,bottom
RGB48,SK6812_Mini_E,SK6812_Mini_E,11.90625,-86.042499,0,bottom
RGB5,SK6812_Mini_E,SK6812_Mini_E,204.7875,-5.079999,0,bottom
RGB52,SK6812_Mini_E,SK6812_Mini_E,309.5625,-86.042499,0,bottom
RGB6,SK6812_Mini_E,SK6812_Mini_E,223.8375,-5.079999,0,bottom
RGB7,SK6812_Mini_E,SK6812_Mini_E,242.8875,-5.079999,0,bottom
RGB8,SK6812_Mini_E,SK6812_Mini_E,123.825,-5.079999,0,bottom
RGB9,SK6812_Mini_E,SK6812_Mini_E,142.875,-5.079999,0,bottom
RGBF1,SK6812_Mini_E,SK6812_Mini_E_REV,0,-28.8925,0,bottom
RGBF10,SK6812_Mini_E,SK6812_Mini_E_REV,171.45,-28.8925,0,bottom
RGBF11,SK6812_Mini_E,SK6812_Mini_E_REV,190.5,-28.8925,0,bottom
RGBF12,SK6812_Mini_E,SK6812_Mini_E_REV,209.55,-28.8925,0,bottom
RGBF13,SK6812_Mini_E,SK6812_Mini_E_REV,228.6,-28.8925,0,bottom
RGBF14,SK6812_Mini_E,SK6812_Mini_E_REV,257.175,-28.8925,0,bottom
RGBF15,SK6812_Mini_E,SK6812_Mini_E_REV,290.5125,-28.8925,0,bottom
RGBF16,SK6812_Mini_E,SK6812_Mini_E_REV,309.5625,-28.8925,0,bottom
RGBF17,SK6812_Mini_E,SK6812_Mini_E_REV,328.6125,-28.8925,0,bottom
RGBF18,SK6812_Mini_E,SK6812_Mini_E_REV,7.14375,-66.9925,0,bottom
RGBF19,SK6812_Mini_E,SK6812_Mini_E_REV,33.3375,-66.9925,0,bottom
RGBF2,SK6812_Mini_E,SK6812_Mini_E_REV,19.05,-28.8925,0,bottom
RGBF20,SK6812_Mini_E,SK6812_Mini_E_REV,52.3875,-66.9925,0,bottom
RGBF21,SK6812_Mini_E,SK6812_Mini_E_REV,71.4375,-66.9925,0,bottom
RGBF22,SK6812_Mini_E,SK6812_Mini_E_REV,90.4875,-66.9925,0,bottom
RGBF23,SK6812_Mini_E,SK6812_Mini_E_REV,109.5375,-66.9925,0,bottom
RGBF24,SK6812_Mini_E,SK6812_Mini_E_REV,128.5875,-66.9925,0,bottom
RGBF25,SK6812_Mini_E,SK6812_Mini_E_REV,147.6375,-66.9925,0,bottom
RGBF26,SK6812_Mini_E,SK6812_Mini_E_REV,166.6875,-66.9925,0,bottom
RGBF27,SK6812_Mini_E,SK6812_Mini_E_REV,185.7375,-66.9925,0,bottom
RGBF28,SK6812_Mini_E,SK6812_Mini_E_REV,204.7875,-66.9925,0,bottom
RGBF29,SK6812_Mini_E,SK6812_Mini_E_REV,223.8375,-66.9925,0,bottom
RGBF3,SK6812_Mini_E,SK6812_Mini_E_REV,38.1,-28.8925,0,bottom
RGBF30,SK6812_Mini_E,SK6812_Mini_E_REV,254.79375,-66.9925,0,bottom
RGBF31,SK6812_Mini_E,SK6812_Mini_E_REV,290.5125,-105.0925,0,bottom
RGBF32,SK6812_Mini_E,SK6812_Mini_E_REV,309.5625,-105.0925,0,bottom
RGBF33,SK6812_Mini_E,SK6812_Mini_E_REV,328.6125,-105.0925,0,bottom
RGBF34,SK6812_Mini_E,SK6812_Mini_E_REV,214.3125,-105.0925,0,bottom
RGBF35,SK6812_Mini_E,SK6812_Mini_E_REV,238.125,-105.0925,0,bottom
RGBF36,SK6812_Mini_E,SK6812_Mini_E_REV,261.9375,-105.0925,0,bottom
RGBF37,SK6812_Mini_E,SK6812_Mini_E_REV,4.7625,-105.0925,0,bottom
RGBF38,SK6812_Mini_E,SK6812_Mini_E_REV,28.575,-105.0925,0,bottom
RGBF39,SK6812_Mini_E,SK6812_Mini_E_REV,52.3875,-105.0925,0,bottom
RGBF4,SK6812_Mini_E,SK6812_Mini_E_REV,57.15,-28.8925,0,bottom
RGBF40,SK6812_Mini_E,SK6812_Mini_E_REV,133.35,-105.0925,0,bottom
RGBF5,SK6812_Mini_E,SK6812_Mini_E_REV,76.2,-28.8925,0,bottom
